title	text
Accessories	"Accessories


Applications: 
Advantages: 
Materials: "
Weather facing reconstruction system FWS II	"Weather facing reconstruction system FWS II
The economical solution for the repair of triple-skin outer wall panels
The fischer weather facing wall tie FWS II is a system for the post-installation securing of triple-skin outer wall panels made from concrete. The system consists of the stainless steel weather facing wall tie FWS II and the fischer injection mortar FIS V and FIS V Plus. The expansion-free load application with the fischer injection mortar enables anchoring in facing masonry with a 80 mm thickness. The fischer FWS II is secured in the load-bearing layer in the weather facing using the injection mortar. The plastic coating protects the insulation from being penetrated with mortar. The large anchor diameter means that FWS II achieves a high shear load resistance. This reduces the number of required wall ties per panel, which saves on costs.
Applications: For post-installation securing of triple-skin outer wall panels,Strengthening outer wall panels for additional exterior insulation
Advantages: The FWS II achieves a high shear load-bearing capacity due to its large anchor diameter. This reduces the number of reconstruction anchors needed for each plate to a minimum, thus saving costs.,The drill hole can be drilled in one step using standard diamond drill bits. This ensures quick progress is made.,Installation is already approved from a sub-base thickness ≥ 80 mm.,Approval with a new measuring strategy allows a safer and economically static calculation while making it possible to document loads from temperature changes.
Materials: For post-installation securing of triple-skin outer wall panels,Strengthening outer wall panels for additional exterior insulation"
Concrete-concrete shear connector FCC	"Concrete-concrete shear connector FCC
The installation-friendly and approved system for building renovation
The fischer concrete-concrete shear connector FCC is an officially approved system for construction renovation. Thanks to its geometry and ease-of-installation, the fischer FCC is a fast, cost-effective alternative to traditional installation using bent iron. The fischer concrete-concrete shear connector FCC is suitable for the renovation of bridges and for increasing their load capacity as well as for increasing the load-bearing capacity of ceilings and reinforcing supports. The fischer FCC can be used with the fischer injection mortars FIS V, FIS V Plus, FIS EM Plus, and FIS SB in accordance with the site conditions. In conjunction with the fischer FIS EM Plus, use in diamond-drilled holes is also permitted.
Applications: Bridge repairs,Increasing load capacity of bridges,Increasing loads of ceilings during conversion, for example,Reinforcement of foundations, piers, columns and walls,Renovation of car park ceilings following corrosion damage
Advantages: Due to its geometry and ease of installation, FCC is the rapid and economic alternative compared to the conventional installation method with bent iron.,Dimensioning of the anchorage is possible thanks to the building approval. Thus, the system offers maximum security.,Variable anchoring depths allow for ideal adaptation to the load to be applied, and ensure an optimised installation time and use of materials.,Depending on site conditions, the FCC can be anchored, in compliance with the approval, with the injection mortars FIS SB or FIS EM Plus.,In conjunction with FIS EM Plus, FCC is also approved for use in diamond-drilled drill holes.
Materials: Bridge repairs,Increasing load capacity of bridges,Increasing loads of ceilings during conversion, for example,Reinforcement of foundations, piers, columns and walls,Renovation of car park ceilings following corrosion damage"
Rebar anchor FRA	"Rebar anchor FRA
Approved system for subsequently installed rebar connections
The fischer rebar anchor FRA is a concrete steel bar with a friction-welded threaded part made from stainless steel. Due to the high load-bearing capacity of the concrete, extremely high tensile loads can be introduced into the base material. The fischer FRA is approved for subsequently mortared overlap joints, connection reinforcements, and needlings. The rebar anchor is a system component for rebar connections with the fischer injection mortars FIS SB, FIS EM Plus and FIS V. If the injection mortar FIS EM Plus is used, installation in diamond-drilled holes is also approved. The mortar bonds the entire surface of the reinforcement bar with the drill hole wall.
Applications: Post-installed concrete steel bars, e.g. for overlap connections, end anchorings, starter bars, crack stitching etc.,Rebar anchor FRA
Advantages: The FRA with its connecting thread in stainless steel fully utilises the load-bearing capacity of the concrete. This means that extremely high tensile loads can be introduced into the base material.,Depending on requirements, the FRA can be used with the injection mortars FIS SB, FIS EM Plus and FIS V, thus offering top flexibility.,If the injection mortar FIS EM Plus is used, installation in diamond-drilled holes is also approved.,Thanks to the thread, the anchorage enables extremely high tensile loads.
Materials: Post-installed concrete steel bars, e.g. for overlap connections, end anchorings, starter bars, crack stitching etc.,Rebar anchor FRA"
FIS-Rebar case	"FIS-Rebar case
Professional rebar connections
The fischer FIS rebar case contains the accessories, approvals, and documentation required for the creation of approval-compliant rebar connections. The box is lined with foam and contains eight cleaning brushes with a diameter of 12 - 55 mm, five extensions for cleaning brushes, an SDS socket with M8 internal thread, 24 injection adapters, a cleaning tube, a brush control cartridge, eight cleaning nozzles, a marking tape, a digital thermometer, safety goggles, installation instructions, 10 setting protocols, two flat spanners, and the corresponding approvals.
Applications: Post-installed rebar connections
Advantages: The FIS rebar case contains all of the individual components required for the creation of rebar connections, thus ensuring an easy installation.,The components are used with the injection mortars FIS SB, FIS EM Plus, or FIS V depending on requirements.,With the injection mortars FIS V and FIS VS LOW SPEED, the rebar connections can be realised with a diameter of 8 to 28 mm, and with FIS EM a diameter of up to 40 mm can be achieved if required This offers maximum flexibility.,The injection mortar FIS SB allows the user to realise rebar connections with a diameter of 8 to 32 mm in conjunction with easy and therefore user-friendly drill hole cleaning.,FIS EM Plus also allows for the execution of rebar connections in diamond-drilled holes.
Materials: Post-installed rebar connections"
Brushes	"Brushes
Cleaning brushes for drill holes for rebar connections
The full utilisation of the load-bearing capacity of a rebar connection can be ensured only if the drill hole is cleaned professionally and in accordance with the approval. The cleaning brushes have an SDS socket and can be used with a drilling machine or a battery-operated screwdriver. This saves time and increases the cleaning quality. The fischer brushes are made from high-quality stainless steel. The colour code makes it easy to select the right brush for the relevant drill hole diameter.
Applications: Rebar connections
Advantages: The cleaning brushes dispose of an M8 thread. Using the SDS adapter, they can be used with a drilling machine or a cordless screwdriver.,Caution: Prior to using, please check if the brushes still have the required diameter by using the brush control pattern. Brushes with too small diameter must not be used.,The brush extension simplifies cleaning of deep drill holes.,The coloured marking facilitates the selection of the brush matching the drill hole diameter.
Materials: Rebar connections"
Drilling aid	"Drilling aid

To enable the use of the full load-bearing capacity of the rebar connection, the professional and approval-compliant creation of the drill hole must be ensured. The fischer drilling aid is a guide device for the creation of drill holes for rebar connections. It simplifies the creation of drill holes for rebar connections and enables precise drilling next to the component edge or parallel to an existing reinforcement. The drilling aid is secured with a plug to achieve this. The pivotable guide rod acts as an optical guide for parallel drilling.
Applications: Post-installed rebar connections
Advantages: The drilling aid acts as a guide device that makes it easier to drill holes, particularly if you need to drill right next to the edge of a component or exactly parallel to an existing reinforcement. Its use can reduce the minimum concrete coverage.
Materials: Post-installed rebar connections"
Stocker	"Stocker
Scrabbling tool for roughing the connection surface for rebar connections
To enable the use of the full load-bearing capacity of the rebar connection, the professional and approval-compliant realisation of the work must be ensured. The connection surface is roughened up with the fischer scrabbling tool. With the SDS socket, the tool can be quickly and easily clamped into the hammer drill.
Applications: Post-installed rebar connections
Advantages: The scrabbling tool is for roughing the connection surface. With the SDS socket, it can be quickly and easily clamped into the hammer drill.
Materials: Post-installed rebar connections"
Compressed air nozzles	"Compressed air nozzles
Compressed air nozzles for cleaning of drill holes
The full utilisation of the load-bearing capacity of a rebar connection can be ensured only if the drill hole is cleaned professionally and in accordance with the approval. The suitable fischer compressed air nozzles are selected in accordance with the drill hole diameter and are screwed onto the cleaning tube. The deep drill holes are blown out with the compressed air nozzles.
Applications: Blowing out drill holes using a compressed air cleaner
Advantages: The compressed air nozzles are selected according to the respective drill hole diameter and are screwed onto the cleaning hose.
Materials: Blowing out drill holes using a compressed air cleaner"
TX star recess ProfiBit	"TX star recess ProfiBit
The ProfiBit with TX star recess
The fischer ProfiBit FPB with TX drive is a robust and powerful bit for manual and machine use. The drive with the TX star recess socket enables a high torque transfer. The use of a high-quality special steel with a top hardness grade ensures a long life span. The fischer profi bit is resistant to wear and breakage.
Applications: Robust and powerful all-rounder bits for the home, crafts and trades, and industry
Advantages: ""Made in Germany"" bits made from special steel with a high hardness quality.,Extremely high torque values.,TX star recess for a high torque transfer.,Optimum bit fit in screws allows for low-wear work and therefore clean working results and a long lifetime.,CNC-profiled output drive for an optimum torque transmission and the best possible force transfer.,The profile shape guarantees an optimum fit and prevents damage to the screw head.,Also available as neat bit sets with 10 or 32 parts, including a bit holder.
Materials: Robust and powerful all-rounder bits for the home, crafts and trades, and industry"
PZ cross-slot ProfiBit	"PZ cross-slot ProfiBit
The ProfiBit with PZ cross-slot
The fischer ProfiBit FPB with PZ cross-slot socket is a robust and powerful bit for manual and machine use. The drive with cross-slot PZ socket enables easy and safe positioning in the screw head. The use of a high-quality special steel with a top hardness grade ensures a long life span. The fischer profi bit is resistant to wear and breakage.
Applications: Robust and powerful all-rounder bits for the home, crafts and trades, and industry
Advantages: ""Made in Germany "" bits made from special steel with a high hardness quality.,Extremely high torque values.,Cross drive PZ for easy and safe positioning in the screw head.,Optimum bit fit in screws allows for low-wear work and therefore clean working results and a long lifetime.,CNC-profiled output drive for an optimum torque transmission and the best possible force transfer.,The profile shape guarantees an optimum fit and prevents damage to the screw head.,Also available as neat bit sets with 10 or 31 parts, including a bit holder.
Materials: Robust and powerful all-rounder bits for the home, crafts and trades, and industry"
PH cross-slot ProfiBit	"PH cross-slot ProfiBit
The ProfiBit with PH cross-slot
The fischer ProfiBit FPB with PH cross-slot socket is a robust and powerful bit for manual and machine use. The PH cross-slot socket drive enables an optimum bit fit and reduces wear. The use of a high-quality special steel with a top hardness grade ensures a long life span. The fischer profi bit is resistant to wear and breakage.
Applications: Robust and powerful all-rounder bits for the home, crafts and trades, and industry
Advantages: ""Made in Germany"" bits made from special steel with a high hardness quality.,Extremely high torque values.,Optimum bit fit in screws allows for low-wear work and therefore clean working results and a long lifetime.,CNC-profiled output drive for an optimum torque transmission and the best possible force transfer.,The profile shape guarantees an optimum fit and prevents damage to the screw head.,Also available as neat bit sets with 10 or 31 parts, including a bit holder.
Materials: Robust and powerful all-rounder bits for the home, crafts and trades, and industry"
TX star recess DiamondBit	"TX star recess DiamondBit
The DiamondBit with TX star recess
The fischer DiamondBit FDB is an extremely robust and user-friendly bit with a TX drive. The drive with the TX star recess socket enables a high torque transfer. The coating with diamond particles ensures the maximum transfer of force and prevents the bit tip from slipping out of the screw head. The elastic torsion zone enables energy-efficient installation.
Applications: Primarily used for machine screw connections
Advantages: Diamond particles for safe power transmission and optimal screw run.,Nickel coating for optimum corrosion resistance.,Elastic torsion zone for highest possible torques, energy-efficient installation and top cost-effectiveness.,CNC-profiled output drive for optimum fitting accuracy and maximum torque transmission.,TX star recess for a high torque transfer.,High dimensional accuracy enables an optimum bit fit for clean results and a long lifetime.
Materials: Primarily used for machine screw connections"
PH cross-slot DiamondBit	"PH cross-slot DiamondBit
The DiamondBit with PH cross-slot
The fischer DiamondBit FDB is an extremely robust and user-friendly bit with a PH cross-slot drive. The PH cross-slot socket drive enables an optimum bit fit and reduces wear. The coating with diamond particles ensures the maximum transfer of force and prevents the bit tip from slipping out of the screw head. The elastic torsion zone enables energy-efficient installation.
Applications: Primarily used for machine screw connections
Advantages: Diamond particles for safe power transmission and optimal screw purchase.,Nickel coating for optimum corrosion resistance.,Elastic torsion zone for highest possible torques, energy-efficient installation and top cost-effectiveness.,CNC-profiled output drive for optimum fitting accuracy and maximum torque transmission.,PH cross slot for optimum bit fit and wear-reduced performance.,High dimensional accuracy enables an optimum bit fit for clean results and a long lifetime.
Materials: Primarily used for machine screw connections"
MaxxBit FMB	"MaxxBit FMB
The ultimate torsion-bit
The fischer MaxxBit FMB is a high-performance bit for really powerful drill drivers and impact drivers. The innovative hybrid design takes up 30% more torsion than traditional bits. The high-quality hardened steel and optimum profile geometry ensure maximum force transfer. The elastic torsion zone reduces the risk of breakage when faced with extreme loads.
Applications: Specially designed for use with timber construction screws or concrete screws
Advantages: The ultimate solution for extreme installation torques. Ideal for usage in high-performance power- and impact-tools.,Optimal geometry of the profile guarantees unique performance and durability for sophisticated applications and users.,The elastic torsion zone releases at extreme loads to ensure a gentle working and maximum operating efficiency.,The high dimensional accuracy allows for an ideal fit. For clean results and a long lifetime.
Materials: Specially designed for use with timber construction screws or concrete screws"
BitHolder FBH	"BitHolder FBH
The bit holder for rapid bit exchange
The fischer BitHolders FBH are robust bit holders with a slim shape. A strong magnet holds the bit in the shaft. The drive is via a ¼"" hex connection. The rapid bit exchange of the bit holder FBH Quick Bit Slim enables the fast changing of the bit whilst offering the best possible hold. fischer offers a range of designs for DIY enthusiasts and professional users.
Applications: The bit holders for use in cylinder drill chucks
Advantages: The bit holders for ¼"" bits with magnetic insert hold the bit securely in the drill chuck and offers a smooth installation procedure.,Robust and slim bit holder for an easy bit exchange.,Ideal for direct machine connection or enlargement of the bits to reach difficult areas.,With the FBH Quick Bit Slim the bit automatically locked when plugged in and provides a secure hold. By pulling back the sleeve the bit can be easily taken out.
Materials: The bit holders for use in cylinder drill chucks"
BitSets	"BitSets
Useful BitSets for a multitude of applications
The fischer BitSets ensure the safe and tidy storage of the bits. The practical sets contain the most commonly required bits as well as a universal bit holder. fischer offers different sets with 10 and 32 parts.
Applications: The ideal bit sets for quick and efficient working,For a high variation of applications
Advantages: Universal use with most common bits as well as one bit holder per set.,Compact bit set with easy handling.,Safe and clearly arranged keeping of the content assuring a reliable usage.,Robust and durable construction fulfilling even hardest requirements.
Materials: The ideal bit sets for quick and efficient working,For a high variation of applications"
Bolt anchor FAZ II	"Bolt anchor FAZ II
For highest demands. Powerful and flexible.
The fischer bolt anchor FAZ II is a steel anchor for the highest requirements. Heavy loads can be secured in cracked concrete using the steel anchor. Thanks to its easy installation, the FAZ II can be used extremely flexibly. The tried-and-tested expansion clip safely introduces the loads into the concrete and enables top load-bearing capacity. The steel anchor is ideal for the anchoring of railings, cable trays and cantilevers, for example.
Applications: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades,Timber constructions
Advantages: According to the new evaluation (ETA), the tensile strengths are decisive. Thus fewer anchors are required.,The variable anchorage depths with sizes M8 to M16 allow a millimetre-accurate adjustment to the loads for the first time.,The version with the cap nut offers an optically attractive anchoring and protects against injuries as well thanks to the round shape.,The first bolt anchor M6 with an ETA assessment Option 1 for secure and reliable anchorings.,The international approvals guarantee maximum safety and the best performance.,General design certification for anchorage in steel fiber concrete for the fischer bolt anchors FAZ II, FAZ II R and FAZ II HCR (diameter M6 - M24).
Materials: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades,Timber constructions"
Bolt anchor FBN II	"Bolt anchor FBN II
The cost-efficient fixing for flexible use in non-cracked concrete
The fischer bolt anchor FBN II is a steel anchor for cost-effective fixations in non-cracked concrete. Thanks to its long thread and the two anchorage depths, the fischer bolt anchor FBN II is particularly flexible. In addition to pre-positioned and push-through installation, the bolt anchor is suitable for stand-off installation. In the stainless steel design, the bolt anchor is suitable for façade sub-structures, cantilevers and ladders outside.
Applications: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades
Advantages: The standard anchorage depth achieves the maximum load-bearing capacities. Thus fewer fixing points and smaller anchor plates are required.,The reduced anchorage depth reduces the drill hole depth. This minimises the amount of time needed for installation whilst increasing flexibility.,The long thread balances component tolerances and allows for stand-off installations, thus increasing flexibility.,Few hammer blows and the minimal torque slippage allow for a noticeably simpler installation.,The drive-in pin protects the thread from damage, and thus ensures a faster installation and dismantling of the attachment.
Materials: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades"
Bolt anchor EXA	"Bolt anchor EXA
The installation-friendly fixing in non-cracked concrete
The fischer bolt anchor EXA is a particularly installation-friendly steel anchor for anchorings in non-cracked concrete. In the zinc-plated steel design, the bolt anchor is suitable for the anchoring of railings, cantilevers, and cable trays inside. The two expansion clips increase the expansion range and reduce the torque slippage. This saves time during the installation process. The drive-in pin protects the threaded screw from damage, and as such ensures a faster installation and dismantling of the fixture.
Applications: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades
Advantages: The two clips increase the expansion range and reduce the torque slippage. This allows for a fast and simple installation.,The drive-in pin protects the threaded screw from damage, and as such ensures a faster installation and dismantling of the fixture.,The short version EXA K*) can be used in thinner components due to the low anchorage depth.
Materials: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades"
Bolt anchor EXA-IG	"Bolt anchor EXA-IG
The installation-friendly fixing with internal thread for non-cracked concrete
The fischer bolt anchor EXA is a particularly installation-friendly steel anchor with an internal thread for anchorings in non-cracked concrete. The two expansion clips increase the expansion range and reduce the torque slippage. In the stainless steel design, the bolt anchor with internal thread is suitable for the anchoring of railings, cantilevers, and cable trays outside. Thanks to the internal thread, threaded rods and metric screws for fixture anchoring can be installed and removed with a low amount of effort.
Applications: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades
Advantages: The two clips increase the expansion range and reduce the torque slippage. This allows for a fast and simple installation.,The drive-in pin protects the thread from damage, and thus ensures a faster installation and dismantling of the fixture.,The short version EXA K*) can be used in thinner components due to the low anchorage depth.
Materials: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades"
Bolt anchor FWA	"Bolt anchor FWA
The cost-effective fixation without approval - for use in non-cracked concrete

Applications: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades
Advantages: The standard anchorage depth achieves high load-bearing capacities. This means that fewer fixing points and smaller anchor plates are required.,The reduced anchorage depth reduces the drill hole depth. This minimises the amount of time needed for installation whilst increasing flexibility.,Available with metric and imperial threads
Materials: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades"
Bolt anchor FWA (imperial)	"Bolt anchor FWA (imperial)
The cost-effective fixation without approval - for use in non-cracked concrete
The fischer bolt anchor FWA is an economical solution for all applications where an approved fixation is not required. The FWA is offered in zinc-plated steel and hot-dip galvanised steel with an imperial thread. The bolt anchor can be used with two anchorage depths. The standard anchorage depth guarantees a high load-bearing capacity. This means that fewer fixing points and smaller anchor plates are required. The reduced anchorage depth reduces the drill hole depth. This saves time during the installation and increases flexibility.
Applications: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades
Advantages: The standard anchorage depth achieves high load-bearing capacities. This means that fewer fixing points and smaller anchor plates are required.,The reduced anchorage depth reduces the drill hole depth. This minimises the amount of time needed for installation whilst increasing flexibility.,Available with metric and imperial threads.
Materials: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades"
Bolt anchor FXA	"Bolt anchor FXA
Cost efficient fixing with ETA assessment for non-cracked concrete

Applications: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades
Advantages: The standard anchorage depth achieves the maximum loadbearing capacities so fewer fixing points and smaller anchor plates are required.,With only a few hammer blows and minimal torque slippage installation is a simple process.,The drive-in pin protects the thread from damage, and ensures a faster installation and dismantling of the attachment.
Materials: Steel constructions,Guard rails,Consoles,Ladders,Cable trays,Machines,Staircases,Gates,Façades"
Setting tool FABS	"Setting tool FABS
Machine-aided installation for a faster installation time
The fischer bolt anchor setting tool FABS is used for machine-aided installation. The SDS socket enables industrial installation with a hammer drill. This reduces force requirements and shortens the installation time.
Applications: For all anchor bolt variations of FAZ II, FBN II, EXA (M6 - M12)
Advantages: Energy-saving installation: Can be used on walls, ceilings, and floors without the plug falling out. The projecting thread is not damaged during hammering.,Fast and easy installation: Set more anchors in the same amount of time.,Safe installation without damage to the fixture when installing stainless steel railings, for example.,Even novices can perform the installation without problems.
Materials: For all anchor bolt variations of FAZ II, FBN II, EXA (M6 - M12)"
Bolt anchor setting tool FA-ST II	"Bolt anchor setting tool FA-ST II
Easy and fast installation of bolt anchors
The FA-ST II bolt anchor setting tool allows for quick and easy installation of bolt anchors, saving significant installation time in particular during series installation. The projecting thread of the anchor is not damaged during hammering. The bolt anchor setting tool FA-ST II is suitable for commonly available hammer drills (2 - 3 kg) with SDS adapter. Specialised bolt anchors such as the AZ II, FBN II, FBZ and EXA can be installed using push-through installation more quickly, easily, and safely using the FA-ST II. The setting tool ensures optimal handling, thanks to its low weight.
Applications: Machine setting of bolt anchors, requiring little force,Usable with FAZ II, FBN II, FBZ, EXA
Advantages: The fischer FA-ST II setting tool allows a simple and fast installation of bolt anchors.,It is a lightweight, easy to handle setting tool for a simple installation process.,The setting tool is packed in a robust plastic box that offers maximum flexibility for use on construction sites.
Materials: Machine setting of bolt anchors, requiring little force,Usable with FAZ II, FBN II, FBZ, EXA"
Concrete screw UltraCut FBS II US	"Concrete screw UltraCut FBS II US
The high-performance concrete screw for absolute installation ease
The fischer concrete screw UltraCut FBS II US is a powerful anchoring solution with top installation comfort. The concrete screw with its pressed-on washer is ideal for slot fixations and the anchoring of wooden constructions as well as beams and sills. The European Technical Approval for cracked concrete and non-cracked concrete as well as for seismic loads and classification into fire resistance class R 120 guarantee even more safety. The saw tooth geometry enables a quick and easy installation. No drill hole cleaning is required for installation in ceilings and floors. The expansion-free anchorage system enables low edge and axial spacings.
Applications: Guard rails,Consoles/Base plates,Metal profiles,Shelving systems,Protection barriers,Results / beam anchors,Temporary anchoring, e.g. of building site equipment,Shuttering props,Reinforcement of bridges,Rehabilitation of old and ailing buildings,Rehabilitation of car parks
Advantages: With up to 3 embedment depths, the UltraCut FBS II US allows for the same screw to be used for different component thicknesses.,The special saw tooth geometry enables fast cutting into the concrete.,Drill holes do not need to be cleaned during vertical installation (ceiling and floor). For floor fixings the hole must be drilled 3x drill hole diameter deeper.,Expansion-free anchoring (undercut) allows for lowest edge- and axial spacings.,The ETA approval covers applications in cracked concrete and seismic power categories C1 and C2.,The approved adjustment for the concrete screws allows the screw to be unscrewed twice to place maximum 10 mm packing below the base plate head or to align the attached part, and then to tighten the screw again.,The checking gauge allows for reuse in temporary fixings (e.g. inclined supports) covered by the national approval.,The concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel CP and stainless steel R has an ETA for bricks of clay (EN771-1), solid sand-lime brick (EN771-2) and perforated sand-lime brick (EN771-2) for a flexible use in different substrates.,The installation of the concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel and stainless steel R in masonry brick can be made in the joints or in plastered substrates also in groups.
Materials: Guard rails,Consoles/Base plates,Metal profiles,Shelving systems,Protection barriers,Results / beam anchors,Temporary anchoring, e.g. of building site equipment,Shuttering props,Reinforcement of bridges,Rehabilitation of old and ailing buildings,Rehabilitation of car parks"
Concrete screw UltraCut FBS II US R	"Concrete screw UltraCut FBS II US R
The high-performance concrete screw for absolute installation ease and external applications
The fischer concrete screw UltraCut FBS II US R, with the specially hardened red tip is a high-performance anchoring solution for fast installation. The concrete screw with the pressed washer is ideal for applications outside or in damp areas. The European Technical Approval for cracked concrete and non-cracked concrete as well as for seismic loads and classification into fire resistance class R 120 guarantee even more safety. The saw tooth geometry enables a quick and easy installation. No drill hole cleaning is required for installation in ceilings and floors. The expansion-free anchorage (undercut) ensures low edge and axial spacings.
Applications: Guard rails,Consoles/Base plates,Metal profiles,Steel constructions,Façades,Protection barriers
Advantages: The specially hardened red tip provides a faster and more secure installation.,The stainless steel concrete screw guarantees a high level of corrosion resistance especially for wet rooms and external applications.,The special saw tooth geometry enables fast cutting into the concrete.,Drill holes do not need to be cleaned during vertical installation (ceiling and floor). For floor fixings the hole must be drilled 3x drill hole diameter deeper.,The ETA approval covers applications in cracked concrete and seismic power categories C1 and C2.,The approved adjustment for the concrete screws allows the screw to be unscrewed twice to place maximum 10 mm packing below the base plate head or to align the attached part, and then to tighten the screw again.,The three embedment depths, allow for using the UltraCut FBS II R in many different applications and enable a high flexibility.,The short UltraCut FBS II R, with a reduced embedment in depth, allows for a short drill hole depth, fast installation and less reinforcement hits.,The concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel CP and stainless steel R has an ETA for bricks of clay (EN771-1), solid sand-lime brick (EN771-2) and perforated sand-lime brick (EN771-2) for a flexible use in different substrates.,The installation of the concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel and stainless steel R in masonry brick can be made in the joints or in plastered substrates also in groups.
Materials: Guard rails,Consoles/Base plates,Metal profiles,Steel constructions,Façades,Protection barriers"
Concrete screw UltraCut FBS II CP US	"Concrete screw UltraCut FBS II CP US
The high-performance concrete screw for absolute installation ease with special coating
The fischer UltraCut FBS II CP US concrete screw has an innovative surface coating and is a powerful anchoring solution for fast installation and with a better corrosion behaviour of the coating. The European Technical Approval for cracked concrete and non-cracked concrete as well as for seismic loads and classification into fire resistance class R 120 guarantee even more safety. The saw tooth geometry enables a quick and easy installation. No drill hole cleaning is required for installation in ceilings and floors. The expansion-free anchorage system enables low edge and axial clearances.
Applications: Guard rails,Consoles/Base plates,Metal profiles,Steel constructions,Façades,Protection barriers
Advantages: The innovative surface coating ensures additional protection against corrosion compared to the galvanized concrete screw FBS II (proved also through salt spray test over 2.000h).,The special saw tooth geometry enables fast cutting into the concrete.,The ETA approval covers applications in cracked concrete and seismic power categories C1 and C2.,Cleaning the drilled hole is not necessary in case of vertical installation (in ceilings and floors) and when using hollow drills. The hole must be drilled 3x the drill hole diameter deeper for holes drilled in floors.,Approval-compliant adjustment allows the concrete screw to be unscrewed twice and the fixture to be underlaid or adjusted.,Three approved embedment depths allow the screws to be used in a wide range of applications, ensuring excellent flexibility.,The concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel CP and stainless steel R has an ETA for bricks of clay (EN771-1), solid sand-lime brick (EN771-2) and perforated sand-lime brick (EN771-2) for a flexible use in different substrates.,The installation of the concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel and stainless steel R in masonry brick can be made in the joints or in plastered substrates also in groups.
Materials: Guard rails,Consoles/Base plates,Metal profiles,Steel constructions,Façades,Protection barriers"
Concrete screw UltraCut FBS II SK	"Concrete screw UltraCut FBS II SK
The high-performance concrete screw for absolute installation ease
The fischer concrete screw UltraCut FBS II SK is a powerful anchoring solution with top installation comfort. The version with the countersunk head enables use for visually demanding anchorings. The European Technical Approval for cracked concrete and non-cracked concrete as well as for seismic loads and classification into fire resistance class R 120 guarantee even more safety. The saw tooth geometry enables a quick and easy installation. No drill hole cleaning is required for installation in ceilings and floors. The expansion-free anchorage system enables low edge and axial spacings.
Applications: Guard rails,Consoles/Base plates,Metal profiles,Reinforcement of bridges,Rehabilitation of old and ailing buildings,Rehabilitation of car parks
Advantages: With up to 3 embedment depths, the UltraCut FBS II US allows for the same screw to be used for different component thicknesses.,The special saw tooth geometry enables fast cutting into the concrete.,Drill holes do not need to be cleaned during vertical installation (ceiling and floor). For floor fixings the hole must be drilled 3x drill hole diameter deeper.,Expansion-free anchoring (undercut) allows for lowest edge- and axial spacings.,The ETA approval covers applications in cracked concrete and seismic power categories C1 and C2.,The approved adjustment for the concrete screws allows the screw to be unscrewed twice to place maximum 10 mm packing below the base plate head or to align the attached part, and then to tighten the screw again.,The checking gauge allows for reuse in temporary fixings (e.g. inclined supports) covered by the national approval.,The concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel CP and stainless steel R has an ETA for bricks of clay (EN771-1), solid sand-lime brick (EN771-2) and perforated sand-lime brick (EN771-2) for a flexible use in different substrates.,The installation of the concrete screw FBS II 6-10 in zinc-plated steel, multiple-coated steel and stainless steel R in masonry brick can be made in the joints or in plastered substrates also in groups.
Materials: Guard rails,Consoles/Base plates,Metal profiles,Reinforcement of bridges,Rehabilitation of old and ailing buildings,Rehabilitation of car parks"
